example_index,category,text,true_label,teacher_prediction,hard_student_prediction,distilled_student_prediction,teacher_confidence,hard_student_confidence,distilled_student_confidence
12,teacher_correct_distilled_wrong,[redacted: original dataset text is not redistributed in public artifacts],World,World,Business,Business,0.9994994401931763,0.8647568821907043,0.9075857400894165
32,teacher_correct_distilled_wrong,[redacted: original dataset text is not redistributed in public artifacts],Sci/Tech,Sci/Tech,Business,Business,0.9994310736656189,0.4926292896270752,0.48879900574684143
35,teacher_correct_distilled_wrong,[redacted: original dataset text is not redistributed in public artifacts],World,World,Sci/Tech,Sci/Tech,0.6920621395111084,0.8761481642723083,0.9037569761276245
36,teacher_correct_distilled_wrong,[redacted: original dataset text is not redistributed in public artifacts],World,World,Business,Business,0.8000211119651794,0.7480112910270691,0.8034018278121948
39,teacher_correct_distilled_wrong,[redacted: original dataset text is not redistributed in public artifacts],World,World,Sci/Tech,Sci/Tech,0.9996258020401001,0.538802444934845,0.69667649269104
63,all_wrong,[redacted: original dataset text is not redistributed in public artifacts],Business,Sci/Tech,Sci/Tech,Sci/Tech,0.9997908473014832,0.9059944152832031,0.9364033341407776
70,distilled_correct_hard_wrong,[redacted: original dataset text is not redistributed in public artifacts],Business,Business,World,Business,0.9950515627861023,0.3475821912288666,0.5171838998794556
76,all_wrong,[redacted: original dataset text is not redistributed in public artifacts],Sports,Business,Sci/Tech,Sci/Tech,0.7188782691955566,0.4727867543697357,0.734010636806488
81,all_wrong,[redacted: original dataset text is not redistributed in public artifacts],Business,World,Sci/Tech,Sci/Tech,0.984043300151825,0.8301147222518921,0.9195782542228699
94,teacher_correct_distilled_wrong,[redacted: original dataset text is not redistributed in public artifacts],Business,Business,Sci/Tech,Sci/Tech,0.9878886342048645,0.8718116283416748,0.9108999371528625
114,all_wrong,[redacted: original dataset text is not redistributed in public artifacts],Sci/Tech,Business,Business,Business,0.9922014474868774,0.6209515929222107,0.7241095900535583
118,teacher_wrong_distilled_correct,[redacted: original dataset text is not redistributed in public artifacts],Business,Sports,Business,Business,0.9983239769935608,0.881232738494873,0.9143292903900146
124,all_wrong,[redacted: original dataset text is not redistributed in public artifacts],Business,World,World,World,0.9347846508026123,0.7622895836830139,0.8099921941757202
130,all_wrong,[redacted: original dataset text is not redistributed in public artifacts],Sci/Tech,World,World,World,0.6399855613708496,0.803862988948822,0.8842290639877319
213,distilled_correct_hard_wrong,[redacted: original dataset text is not redistributed in public artifacts],Sports,Sports,Sci/Tech,Sports,0.9993670582771301,0.5219218134880066,0.5677875280380249
219,teacher_wrong_distilled_correct,[redacted: original dataset text is not redistributed in public artifacts],Business,Sci/Tech,Business,Business,0.9891313314437866,0.5058147311210632,0.7214590907096863
221,distilled_correct_hard_wrong,[redacted: original dataset text is not redistributed in public artifacts],Sci/Tech,Sci/Tech,Business,Sci/Tech,0.999444305896759,0.48576125502586365,0.49765995144844055
226,distilled_correct_hard_wrong,[redacted: original dataset text is not redistributed in public artifacts],Sci/Tech,Sci/Tech,World,Sci/Tech,0.9988873600959778,0.4666030704975128,0.47959643602371216
242,teacher_wrong_distilled_correct,[redacted: original dataset text is not redistributed in public artifacts],Sci/Tech,Business,Sci/Tech,Sci/Tech,0.9634153842926025,0.8894296884536743,0.9256922006607056
250,distilled_correct_hard_wrong,[redacted: original dataset text is not redistributed in public artifacts],Sports,Sports,World,Sports,0.9998595714569092,0.4872382879257202,0.8520469069480896
257,teacher_wrong_distilled_correct,[redacted: original dataset text is not redistributed in public artifacts],Sci/Tech,Business,Sci/Tech,Sci/Tech,0.9688701033592224,0.8298773765563965,0.8724780678749084
260,teacher_wrong_distilled_correct,[redacted: original dataset text is not redistributed in public artifacts],World,Business,World,World,0.56562739610672,0.8568277955055237,0.9197279810905457
270,teacher_wrong_distilled_correct,[redacted: original dataset text is not redistributed in public artifacts],Business,Sci/Tech,Business,Business,0.9368391036987305,0.8698709011077881,0.9033506512641907
289,distilled_correct_hard_wrong,[redacted: original dataset text is not redistributed in public artifacts],Sci/Tech,Sci/Tech,World,Sci/Tech,0.9970158338546753,0.4960819482803345,0.5218020081520081
103,teacher_correct_distilled_wrong,[redacted: original dataset text is not redistributed in public artifacts],Sci/Tech,Sci/Tech,Sci/Tech,World,0.9995972514152527,0.4868558347225189,0.4469340145587921
128,teacher_correct_distilled_wrong,[redacted: original dataset text is not redistributed in public artifacts],World,World,Sci/Tech,Sci/Tech,0.9965914487838745,0.4085035026073456,0.4789881706237793
131,all_wrong,[redacted: original dataset text is not redistributed in public artifacts],Business,Sci/Tech,Sci/Tech,Sci/Tech,0.7819634079933167,0.8054163455963135,0.8236457705497742
146,all_wrong,[redacted: original dataset text is not redistributed in public artifacts],World,Business,Business,Business,0.999136745929718,0.8743990659713745,0.9119918942451477
147,teacher_correct_distilled_wrong,[redacted: original dataset text is not redistributed in public artifacts],Sci/Tech,Sci/Tech,World,World,0.999776303768158,0.47641095519065857,0.47801777720451355
156,teacher_correct_distilled_wrong,[redacted: original dataset text is not redistributed in public artifacts],Sports,Sports,Business,Business,0.5873732566833496,0.7578814625740051,0.7607410550117493
