experiment,run_name,method,questions,recall_at_k,mrr,retrieval_latency_ms_p50,retrieval_latency_ms_p95
dependency_light_retrieval,chunk160_overlap0,hashed_dense,8,0.875,0.7917,0.049,0.054
dependency_light_retrieval,chunk160_overlap0,hybrid_hash,8,0.875,0.8125,0.05,0.057
dependency_light_retrieval,chunk160_overlap0,lexical,8,1.0,0.7917,0.049,0.062
dependency_light_retrieval,chunk160_overlap20,hashed_dense,8,0.875,0.7917,0.048,0.054
dependency_light_retrieval,chunk160_overlap20,hybrid_hash,8,0.875,0.8125,0.051,0.055
dependency_light_retrieval,chunk160_overlap20,lexical,8,1.0,0.7917,0.049,0.071
dependency_light_retrieval,chunk320_overlap0,hashed_dense,8,0.875,0.7917,0.048,0.053
dependency_light_retrieval,chunk320_overlap0,hybrid_hash,8,0.875,0.8125,0.05,0.056
dependency_light_retrieval,chunk320_overlap0,lexical,8,1.0,0.7917,0.049,0.055
dependency_light_retrieval,chunk320_overlap20,hashed_dense,8,0.875,0.7917,0.048,0.053
dependency_light_retrieval,chunk320_overlap20,hybrid_hash,8,0.875,0.8125,0.05,0.056
dependency_light_retrieval,chunk320_overlap20,lexical,8,1.0,0.7917,0.049,0.055
dependency_light_retrieval,chunk40_overlap0,hashed_dense,8,0.875,0.875,0.104,0.112
dependency_light_retrieval,chunk40_overlap0,hybrid_hash,8,0.875,0.75,0.107,0.118
dependency_light_retrieval,chunk40_overlap0,lexical,8,0.875,0.75,0.108,0.122
dependency_light_retrieval,chunk40_overlap20,hashed_dense,8,0.875,0.875,0.133,0.143
dependency_light_retrieval,chunk40_overlap20,hybrid_hash,8,0.875,0.8125,0.14,0.151
dependency_light_retrieval,chunk40_overlap20,lexical,8,0.75,0.6667,0.137,0.155
dependency_light_retrieval,chunk80_overlap0,hashed_dense,8,0.875,0.7292,0.075,0.087
dependency_light_retrieval,chunk80_overlap0,hybrid_hash,8,0.875,0.75,0.08,0.088
dependency_light_retrieval,chunk80_overlap0,lexical,8,1.0,0.7917,0.076,0.085
dependency_light_retrieval,chunk80_overlap20,hashed_dense,8,0.75,0.6875,0.078,0.088
dependency_light_retrieval,chunk80_overlap20,hybrid_hash,8,0.875,0.8125,0.081,0.097
dependency_light_retrieval,chunk80_overlap20,lexical,8,0.875,0.75,0.08,0.113
index_mismatch,matched_encoder,neural_dense,8,0.875,0.7292,0.005,0.02
index_mismatch,mismatched_projected_query_space,neural_dense,8,0.125,0.0625,0.005,0.007
neural_retrieval,intfloat-e5-small-v2,neural_dense,8,0.875,0.8125,0.009,0.025
neural_retrieval,intfloat-e5-small-v2_hybrid,neural_hybrid,8,0.875,0.8125,0.086,0.144
neural_retrieval,sentence-transformers-all-minilm-l6-v2,neural_dense,8,0.875,0.7292,0.003,0.015
neural_retrieval,sentence-transformers-all-minilm-l6-v2_hybrid,neural_hybrid,8,0.875,0.7917,0.034,0.083
reranking,sentence-transformers-all-minilm-l6-v2_candidate12,cross_encoder_rerank,8,0.75,0.75,15.056,17.545
